S.No,Name,Ticker,CMP Rs.,Vol 1d,ROCE %
283.,Allcargo Logist.,ALLCARGO,35.99,2342650,3.73
284.,Sammaan Capital,SAMMAANCAP,140.00,14346371,3.64
285.,Meghmani Organi.,MOL,99.50,1074465,3.39
286.,Eternal Ltd,ETERNAL,300.00,281425522,3.18
287.,Hathway Cable,HATHWAY,15.50,5005184,2.94
288.,Sterlite Tech.,STLTECH,119.70,4653579,2.92
289.,Delhivery,DELHIVERY,435.00,3042539,2.72
290.,Saurashtra Cem.,SAURASHCEM,104.00,1909015,1.78
291.,Jyoti Structures,JYOTISTRUC,17.72,7189252,1.60
292.,Jio Financial,JIOFIN,312.00,17283671,1.47
293.,Urja Global,URJA,14.15,2192738,1.35
294.,Dhani Services,DHANI,66.80,5067921,1.33
295.,Bajaj Hindusthan,BAJAJHIND,26.05,8811609,1.14
296.,Coffee Day Enter,COFFEEDAY,38.50,1421667,1.13
297.,Khandwala Sec.,KHANDSE,32.79,1130145,1.08
298.,Netwrk.18 Media,NETWORK18,59.00,5247537,0.61
299.,Brainbees Solut.,FIRSTCRY,370.95,1080834,-0.40
300.,Valor Estate,DBREALTY,197.85,1582246,-1.38
301.,Navkar Corporat.,NAVKARCORP,132.60,1901524,-1.83
302.,Mcleod Russel,MCLEODRUSS,42.20,6082644,-1.84
303.,Sagar Cements,SAGCEM,261.65,3296053,-2.19
304.,Aditya Bir. Fas.,ABFRL,76.00,6649523,-2.40
305.,MBL Infrast,MBLINFRA,46.40,1669738,-2.62
306.,Restaurant Brand,RBA,84.85,3843357,-3.01
307.,Borosil Renew.,BORORENEW,601.00,1326443,-3.15
308.,India Cements,INDIACEM,370.00,5909693,-4.22
309.,Alok Industries,ALOKINDS,20.85,16063349,-4.79
310.,Parsvnath Devl.,PARSVNATH,21.73,3420415,-5.25
311.,M T N L,MTNL,50.50,2577387,-6.82
312.,Quadrant Future,QUADFUTURE,484.90,1089598,-7.28
313.,NMDC Steel,NSLNISP,40.49,2129659,-12.97
314.,One Mobikwik,MOBIKWIK,267.00,3265699,-13.09
315.,Zee Media,ZEEMEDIA,13.70,1374836,-27.20
316.,Ola Electric,OLAELEC,40.50,50522353,-28.10
317.,Swiggy,SWIGGY,420.00,86628795,-29.20
318.,Diamond Power,DIACABS,168.00,2174622,
319.,Lloyds Engineeri,LLOYDSENGG,77.78,3793458,
320.,A B Lifestyle,ABLBL,153.00,1234240,
321.,Digitide Solutio,DIGITIDE,280.00,3911198,
322.,Bluspring Enter.,BLUSPRING,86.00,2510996,
